,Jornada,PREMIOS PRED,PREMIOS 40,PREMIOS 45,PREMIOS 50,PREMIOS 55,PREMIOS 60,Inversion
65,2015-1624,0.0,0.0,0.0,46.52,49.18,40.61,66
66,2015-1625,0.0,0.0,0.0,46.52,49.18,40.61,67
67,2015-1626,0.0,0.0,0.0,46.52,49.18,40.61,68
68,2015-1627,0.0,0.0,0.0,46.52,49.18,40.61,69
69,2015-1628,0.0,0.0,0.0,46.52,49.18,40.61,70
70,2015-1629,0.0,0.0,0.0,58.730000000000004,61.39,49.73,71
71,2015-1630,0.0,0.0,0.0,58.730000000000004,61.39,49.73,72
72,2015-1631,0.0,0.0,0.0,58.730000000000004,61.39,49.73,73
73,2015-1632,0.0,0.0,0.0,58.730000000000004,61.39,49.73,74
74,2015-1633,0.0,0.0,0.0,58.730000000000004,61.39,49.73,75
75,2015-1634,0.0,0.0,0.0,58.730000000000004,61.39,49.73,76
76,2015-1635,0.0,0.0,0.0,58.730000000000004,68.15,53.12,77
77,2015-1636,0.0,0.0,0.0,58.730000000000004,68.15,53.12,78
78,2016-1711,0.0,0.0,0.0,58.730000000000004,68.15,53.12,79
79,2016-1712,0.0,0.0,0.0,58.730000000000004,68.15,53.12,80
80,2016-1713,0.0,0.0,0.0,58.730000000000004,68.15,53.12,81
81,2016-1714,0.0,0.0,0.0,58.730000000000004,68.15,53.12,82
82,2016-1715,0.0,0.0,0.0,58.730000000000004,68.15,53.12,83
83,2016-1716,0.0,0.0,0.0,58.730000000000004,68.15,53.12,84
84,2016-1717,0.0,0.0,0.0,58.730000000000004,68.15,53.12,85
85,2016-1718,0.0,0.0,0.0,58.730000000000004,68.15,53.12,86
86,2016-1719,0.0,0.0,0.0,58.730000000000004,68.15,53.12,87
87,2016-1720,0.0,0.0,0.0,58.730000000000004,68.15,53.12,88
88,2016-1721,0.0,0.0,0.0,58.730000000000004,68.15,53.12,89
89,2016-1722,0.0,0.0,0.0,58.730000000000004,68.15,53.12,90
90,2016-1723,0.0,0.0,0.0,58.730000000000004,68.15,53.12,91
91,2016-1724,0.0,0.0,0.0,58.730000000000004,68.15,53.12,92
92,2016-1725,0.0,0.0,0.0,58.730000000000004,68.15,53.12,93
93,2016-1726,0.0,0.0,0.0,58.730000000000004,68.15,53.12,94
94,2016-1727,0.0,0.0,0.0,58.730000000000004,68.15,53.12,95
95,2016-1728,0.0,0.0,0.0,58.730000000000004,68.15,53.12,96
96,2016-1729,0.0,0.0,0.0,58.730000000000004,68.15,53.12,97
97,2016-1730,0.0,0.0,0.0,58.730000000000004,68.15,53.12,98
98,2016-1731,0.0,0.0,0.0,58.730000000000004,68.15,53.12,99
99,2016-1732,0.0,0.0,0.0,58.730000000000004,68.15,53.12,100
100,2016-1733,0.0,0.0,0.0,58.730000000000004,68.15,53.12,101
101,2016-1734,0.0,0.0,0.0,58.730000000000004,68.15,53.12,102
102,2016-1735,0.0,0.0,0.0,58.730000000000004,68.15,53.12,103
103,2016-1736,0.0,0.0,0.0,58.730000000000004,68.15,53.12,104
104,2017-1811,0.0,0.0,0.0,58.730000000000004,68.15,53.12,105
105,2017-1812,0.0,0.0,0.0,58.730000000000004,68.15,53.12,106
106,2017-1813,0.0,0.0,0.0,58.730000000000004,68.15,53.12,107
107,2017-1814,0.0,0.0,0.0,58.730000000000004,68.15,53.12,108
108,2017-1815,0.0,0.0,0.0,58.730000000000004,68.15,53.12,109
109,2017-1816,0.0,0.0,0.0,58.730000000000004,68.15,53.12,110
110,2017-1817,0.0,0.0,0.0,58.730000000000004,68.15,53.12,111
111,2017-1818,0.0,0.0,0.0,58.730000000000004,68.15,53.12,112
112,2017-1819,0.0,0.0,0.0,58.730000000000004,68.15,53.12,113
113,2017-1820,0.0,0.0,0.0,58.730000000000004,68.15,53.12,114
114,2017-1821,0.0,0.0,0.0,58.730000000000004,68.15,53.12,115
115,2017-1822,0.0,0.0,0.0,58.730000000000004,68.15,53.12,116
116,2017-1823,0.0,0.0,0.0,58.730000000000004,68.15,53.12,117
117,2017-1824,0.0,0.0,81.03,126.67,93.49000000000001,68.17,118
118,2017-1825,0.0,0.0,81.03,126.67,93.49000000000001,68.17,119
119,2017-1826,0.0,0.0,81.03,126.67,93.49000000000001,68.17,120
120,2017-1827,0.0,0.0,81.03,126.67,93.49000000000001,68.17,121
121,2017-1828,0.0,0.0,81.03,126.67,93.49000000000001,68.17,122
122,2017-1829,0.0,0.0,81.03,126.67,93.49000000000001,68.17,123
123,2017-1830,0.0,0.0,81.03,126.67,93.49000000000001,68.17,124
124,2017-1831,0.0,0.0,81.03,126.67,93.49000000000001,68.17,125
125,2017-1832,0.0,0.0,81.03,126.67,93.49000000000001,68.17,126
126,2017-1833,0.0,0.0,81.03,126.67,93.49000000000001,68.17,127
127,2017-1834,0.0,0.0,81.03,126.67,93.49000000000001,68.17,128
128,2017-1835,0.0,0.0,81.03,126.67,93.49000000000001,68.17,129
129,2017-1836,0.0,0.0,81.03,126.67,93.49000000000001,68.17,130
130,2018-1911,0.0,0.0,81.03,126.67,93.49000000000001,68.17,131
131,2018-1912,0.0,0.0,81.03,126.67,93.49000000000001,68.17,132
132,2018-1913,0.0,0.0,81.03,126.67,93.49000000000001,68.17,133
133,2018-1914,0.0,0.0,81.03,126.67,93.49000000000001,68.17,134
134,2018-1915,0.0,0.0,81.03,126.67,93.49000000000001,68.17,135
135,2018-1916,0.0,0.0,81.03,126.67,93.49000000000001,68.17,136
136,2018-1917,0.0,0.0,81.03,126.67,93.49000000000001,68.17,137
137,2018-1918,0.0,0.0,81.03,126.67,93.49000000000001,68.17,138
138,2018-1919,0.0,0.0,81.03,126.67,93.49000000000001,68.17,139
139,2018-1920,0.0,0.0,81.03,126.67,93.49000000000001,68.17,140
140,2018-1921,0.0,0.0,81.03,126.67,93.49000000000001,68.17,141
141,2018-1922,0.0,0.0,81.03,126.67,93.49000000000001,68.17,142
142,2018-1923,0.0,0.0,81.03,126.67,93.49000000000001,68.17,143
143,2018-1924,0.0,0.0,81.03,126.67,93.49000000000001,68.17,144
144,2018-1925,0.0,0.0,81.03,126.67,93.49000000000001,68.17,145
145,2018-1926,0.0,0.0,81.03,126.67,93.49000000000001,68.17,146
146,2018-1927,0.0,0.0,81.03,126.67,93.49000000000001,68.17,147
147,2018-1928,0.0,0.0,81.03,126.67,93.49000000000001,68.17,148
148,2018-1929,0.0,0.0,81.03,126.67,93.49000000000001,68.17,149
149,2018-1930,0.0,0.0,81.03,126.67,93.49000000000001,68.17,150
150,2018-1931,0.0,0.0,81.03,126.67,93.49000000000001,68.17,151
151,2018-1932,0.0,0.0,81.03,126.67,93.49000000000001,68.17,152
152,2018-1933,0.0,0.0,81.03,126.67,93.49000000000001,68.17,153
153,2018-1934,0.0,0.0,81.03,126.67,93.49000000000001,68.17,154
154,2018-1935,0.0,0.0,81.03,126.67,93.49000000000001,68.17,155
155,2018-1936,0.0,0.0,81.03,126.67,93.49000000000001,68.17,156
156,2020-2111,0.0,0.0,81.03,126.67,93.49000000000001,68.17,157
157,2020-2112,0.0,0.0,81.03,126.67,93.49000000000001,68.17,158
158,2020-2113,0.0,0.0,81.03,126.67,93.49000000000001,68.17,159
159,2020-2114,0.0,0.0,81.03,126.67,93.49000000000001,68.17,160
160,2020-2115,0.0,0.0,81.03,126.67,93.49000000000001,68.17,161
161,2020-2116,0.0,0.0,81.03,126.67,93.49000000000001,68.17,162
162,2020-2117,0.0,0.0,81.03,126.67,93.49000000000001,68.17,163
163,2020-2118,0.0,0.0,81.03,126.67,93.49000000000001,68.17,164
164,2020-2119,0.0,0.0,81.03,126.67,93.49000000000001,68.17,165
165,2020-2120,0.0,0.0,81.03,126.67,93.49000000000001,75.58,166
166,2020-2121,0.0,0.0,81.03,126.67,93.49000000000001,75.58,167
167,2020-2122,0.0,0.0,81.03,126.67,93.49000000000001,75.58,168
168,2020-2123,0.0,0.0,81.03,126.67,93.49000000000001,75.58,169
169,2020-2124,0.0,0.0,81.03,126.67,93.49000000000001,75.58,170
170,2020-2125,0.0,0.0,81.03,126.67,93.49000000000001,75.58,171
171,2020-2126,0.0,0.0,81.03,126.67,93.49000000000001,75.58,172
172,2020-2127,0.0,0.0,81.03,126.67,93.49000000000001,75.58,173
173,2020-2128,0.0,0.0,81.03,126.67,100.54,81.02,174
174,2020-2129,0.0,0.0,81.03,126.67,100.54,81.02,175
175,2020-2130,0.0,0.0,81.03,126.67,100.54,81.02,176
176,2020-2131,0.0,0.0,81.03,126.67,100.54,81.02,177
177,2020-2132,0.0,0.0,81.03,126.67,100.54,81.02,178
178,2020-2133,0.0,0.0,81.03,126.67,100.54,81.02,179
179,2020-2134,0.0,0.0,81.03,126.67,100.54,81.02,180
180,2020-2135,0.0,0.0,81.03,126.67,100.54,81.02,181
181,2020-2136,0.0,0.0,81.03,126.67,100.54,81.02,182
