Temporada,Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado,Goles Local,Goles Visitante,Penaltis Local,Target,Penaltis Visitante,Arbitro,Amarillas Local,Amarillas Visitante,Rojas Local,Rojas Visitante,Minutos Goles L,Goleadores L,Minutos Goles V,Goleadores V,PTOS L,PTOS V,POSC L,POSC V,FORMA L,FORMA V,Pr PTOS L,Pr PTOS V,Pr G AF L,Pr G AF V,Pr G EC L,Pr G EC  V,Pr TA L,Pr TA V,Pr TR L,Pr TR V,Pr TA ARB,Pr TR ARB
4,21/12/2003,17,Albacete,AthleticClub,1-1,1,1,0,E,0,Pérez Burrull,4,2,0,0,"[""13'""]",['Aranda '],"[""40'""]",['Ezquerro '],19,24,14,6,10.0,7.0,0.625,0.25,1.75,1.0,0.875,1.75,2.188,3.562,0.188,0.0,4.857,0.0
4,20/12/2003,17,Valencia,Sevilla,1-0,1,0,0,L,0,Losantos Omar,3,4,0,0,"[""61'""]",['Mista '],[],[],34,21,2,11,11.0,6.0,0.708,0.292,2.0,1.375,1.0,1.375,2.75,3.625,0.0,0.125,4.833,0.0
4,20/12/2003,17,RealSociedad,Valladolid,1-3,1,3,0,V,0,Megía Dávila,4,5,1,0,"[""6'""]",['Nihat '],"[""29'"", ""72'"", ""85'""]","['Makukula ', 'scar González ', 'Losada ']",15,21,18,12,2.0,6.0,0.417,0.167,1.125,0.875,1.25,1.875,2.875,3.125,0.0,0.25,7.8,0.2
4,20/12/2003,17,AtléticodeMadrid,RacingdeSantander,2-2,2,2,0,E,1,González Vázquez,6,6,0,0,"[""62'"", ""69'""]","['Paunović ', 'Musampa ']","[""52'"", ""79'""]","['Matabuena ', 'Jonatan Valle ']",26,21,5,13,7.0,4.0,0.792,0.583,1.5,1.375,0.5,1.25,3.312,3.0,0.0,0.062,7.333,0.167
4,21/12/2003,17,Barcelona,CeltadeVigo,1-1,1,1,0,E,0,Ramírez Domínguez,2,4,0,0,"[""69'""]",['Cocu '],"[""15'""]",['Jesuli '],23,16,9,17,4.0,5.0,0.375,0.417,1.0,1.625,1.0,1.25,3.312,3.0,0.125,0.062,6.167,0.167
4,04/01/2004,18,Valladolid,Betis,0-0,0,0,0,E,0,Pino Zamorano,2,3,0,0,[],[],[],[],24,18,10,16,6.0,4.0,0.708,0.417,1.5,1.5,0.875,1.25,3.235,2.824,0.235,0.0,6.714,0.286
4,04/01/2004,18,Valencia,Villarreal,4-2,4,2,0,L,0,Tristante Oliva,2,4,0,1,"[""56'"", ""57'"", ""72'"", ""87'""]","['Baraja ', 'Aimar ', 'Baraja ', 'Mista ']","[""14'"", ""78'""]","['Riquelme ', 'Belletti ']",37,27,2,6,13.0,10.0,0.708,0.458,2.0,0.75,1.0,0.875,2.765,3.294,0.0,0.0,8.0,0.143
4,04/01/2004,18,Sevilla,Albacete,2-0,2,0,0,L,0,Téllez Sánchez,3,7,0,1,"[""39'"", ""90'""]","['Baptista ', 'Antoñito ']",[],[],21,20,13,14,6.0,11.0,0.583,0.167,1.625,0.75,1.125,1.75,3.647,2.294,0.118,0.176,7.125,0.375
4,04/01/2004,18,RacingdeSantander,Barcelona,3-0,3,0,0,L,0,Iturralde González,1,0,0,0,"[""51'"", ""80'"", ""84'""]","['Juanma ', 'Regueiro ', 'Javi Guerrero ']",[],[],22,24,12,9,5.0,5.0,0.292,0.583,0.875,1.75,1.625,1.625,3.176,3.235,0.059,0.118,3.25,0.25
4,04/01/2004,18,Málaga,RealSociedad,1-2,1,2,0,V,0,Daudén Ibáñez,4,3,0,0,"[""25'""]",['Litos '],"[""36'"", ""45'""]","['Karpin ', 'Nihat ']",26,15,7,18,9.0,2.0,0.708,0.208,1.875,0.75,0.875,1.875,3.0,2.941,0.0,0.059,6.5,0.625
